Run	OUT_Run
SRR23315085	SRR23315085_aqua_Abundance
SRR5271170	SRR5271170_land_Not
SRR18694242	SRR18694242_aqua_Abundance
SRR13720463	SRR13720463_aqua_Not
SRR6960545	SRR6960545_land_Not
SRR12105370	SRR12105370_land_Not
ERR3609918	ERR3609918_land_Not
SRR17041390	SRR17041390_land_Abundance
SRR2148774	SRR2148774_aqua_Not
SRR23684451	SRR23684451_aqua_Abundance
SRR12059190	SRR12059190_aqua_Not
SRR23684454	SRR23684454_aqua_Abundance
SRR3087212	SRR3087212_land_Not
SRR15809226	SRR15809226_land_Abundance
SRR8127626	SRR8127626_land_Abundance
SRR10836661	SRR10836661_aqua_Not
SRR2080286	SRR2080286_land_Not
ERR3609896	ERR3609896_land_Not
SRR13153355	SRR13153355_aqua_Abundance
SRR9691056	SRR9691056_aqua_Abundance
SRR20241719	SRR20241719_aqua_Abundance
SRR18336087	SRR18336087_aqua_Not
SRR23315099	SRR23315099_aqua_Abundance
SRR12248450	SRR12248450_aqua_Not
SRR12481289	SRR12481289_land_Abundance
SRR11343836	SRR11343836_aqua_Not
ERR2828449	ERR2828449_land_Abundance
SRR8543697	SRR8543697_land_Not
SRR12887236	SRR12887236_aqua_Not
SRR23962337	SRR23962337_land_Not
SRR11837469	SRR11837469_aqua_Abundance
SRR17938978	SRR17938978_land_Abundance
SRR22269685	SRR22269685_land_Abundance
SRR14762249	SRR14762249_aqua_Not
SRR14511875	SRR14511875_aqua_Abundance
SRR2080288	SRR2080288_land_Not
SRR20140226	SRR20140226_aqua_Not
SRR15510190	SRR15510190_aqua_Not
SRR23318454	SRR23318454_aqua_Not
SRR17794514	SRR17794514_aqua_Not
SRR13170868	SRR13170868_aqua_Not
SRR8127592	SRR8127592_land_Abundance
SRR6689519	SRR6689519_land_Abundance
SRR17938975	SRR17938975_land_Abundance
SRR5626794	SRR5626794_land_Not
SRR15530470	SRR15530470_aqua_Abundance
SRR19039922	SRR19039922_land_Abundance
SRR7498026	SRR7498026_aqua_Abundance
SRR14140301	SRR14140301_land_Abundance
SRR6053202	SRR6053202_land_Not
SRR10968221	SRR10968221_aqua_Abundance
SRR17204936	SRR17204936_land_Abundance
SRR8127610	SRR8127610_land_Abundance
SRR10917428	SRR10917428_land_Not
SRR17938976	SRR17938976_land_Abundance
SRR2250581	SRR2250581_aqua_Not
SRR23684426	SRR23684426_aqua_Abundance
SRR7082980	SRR7082980_land_Abundance
ERR3597764	ERR3597764_land_Not
SRR22315507	SRR22315507_land_Abundance
SRR11343826	SRR11343826_aqua_Not
SRR1157614	SRR1157614_land_Not
SRR6713628	SRR6713628_land_Abundance
SRR14511836	SRR14511836_aqua_Abundance
SRR17204925	SRR17204925_land_Abundance
SRR14301298	SRR14301298_land_Not
SRR12894172	SRR12894172_aqua_Not
SRR23026127	SRR23026127_land_Abundance
SRR23318467	SRR23318467_aqua_Not
