Run,Env,MHET_Abundance
SRR11837469,wetland,1.33764235
SRR12418382,wetland,1.325958071
SRR15677236,wetland,1.313993734
SRR10968221,wetland,1.305698688
SRR9691021,wetland,1.303765955
SRR11837388,wetland,1.300084337
SRR7499979,wetland,1.284270534
SRR20746684,wetland,1.276761256
SRR22215819,wetland,1.276197193
SRR5494512,wetland,1.274397193
SRR10968218,wetland,1.260160703
SRR23315089,wetland,1.250653238
SRR15400732,wetland,1.245557349
SRR5210212,wetland,1.245272002
SRR9691046,wetland,1.207490281
SRR23315094,wetland,1.204552377
SRR9691019,wetland,1.18168509
SRR16547336,wetland,1.163698535
SRR15677241,wetland,1.144115975
SRR20746685,wetland,1.125960454
SRR5817590,wetland,1.110290822
SRR10968168,wetland,1.099781138
SRR15677218,wetland,1.093294461
SRR7497727,wetland,1.069236822
SRR9691024,wetland,1.066182471
SRR14454013,wetland,1.054071326
SRR7497677,wetland,1.041632653
SRR15400734,wetland,1.039307636
SRR20746695,wetland,1.034846115
SRR12418380,wetland,1.031493449
SRR22215818,wetland,1.027060107
SRR16547338,wetland,1.024636823
SRR23315091,wetland,0.999660325
SRR23315087,wetland,0.966325529
SRR15677213,wetland,0.961254464
SRR7499317,wetland,0.959081217
SRR23274337,wetland,0.954708394
SRR20746696,wetland,0.95211277
SRR11341399,wetland,0.949969544
SRR15677239,wetland,0.924734641
SRR9691020,wetland,0.92273163
SRR7499255,wetland,0.921964242
SRR16547334,wetland,0.912067353
SRR9656206,wetland,0.908756192
SRR17401453,wetland,0.908639619
SRR15677214,wetland,0.908072844
SRR10968270,wetland,0.895371283
SRR18354917,wetland,0.88507383
SRR13961593,wetland,0.875520359
SRR15677219,wetland,0.873216272
SRR5198901,wetland,0.869558214
SRR9691049,wetland,0.860079277
SRR15532677,wetland,0.838777036
SRR9691050,wetland,0.821428325
SRR5468417,wetland,0.818745019
SRR15677237,wetland,0.81599224
SRR7497733,wetland,0.813573691
SRR10968283,wetland,0.81224518
SRR15532675,wetland,0.805870054
SRR15677232,wetland,0.793523953
SRR5468418,wetland,0.78556881
SRR15400733,wetland,0.783510858
SRR9691032,wetland,0.782386861
SRR15677216,wetland,0.78125
SRR15532676,wetland,0.774270457
SRR14454015,wetland,0.770169068
SRR20746683,wetland,0.769891578
SRR15400736,wetland,0.747591844
SRR11837468,wetland,0.740600495
SRR15677226,wetland,0.739076583
SRR7499980,wetland,0.73721809
SRR15677215,wetland,0.73269774
SRR15532678,wetland,0.730121445
SRR5198902,wetland,0.729531576
SRR11070432,wetland,0.728403051
SRR22215820,wetland,0.721973394
SRR15677220,wetland,0.703729768
SRR15677228,wetland,0.701783937
